zipcode,Period,Region,MSP
92037,2014-Q1,"San Diego, CA - Muirlands",2103000.0
92037,2014-Q1,"San Diego, CA - Soledad South",1043333.0
92037,2014-Q2,La Jolla,931667.0
92037,2014-Q2,"San Diego, CA - Beach Barber",864333.0
92037,2014-Q2,"San Diego, CA - Muirlands",2090000.0
92037,2014-Q2,"San Diego, CA - Soledad South",998333.0
92037,2014-Q3,La Jolla,955333.0
92037,2014-Q3,"San Diego, CA - Beach Barber",1066667.0
92037,2014-Q3,"San Diego, CA - Muirlands",2468333.0
92037,2014-Q3,"San Diego, CA - Soledad South",894000.0
92037,2014-Q4,La Jolla,1062000.0
92037,2014-Q4,"San Diego, CA - Beach Barber",1091667.0
92037,2014-Q4,"San Diego, CA - Muirlands",1904667.0
92037,2014-Q4,"San Diego, CA - Soledad South",1045000.0
92037,2015-Q1,La Jolla,1196667.0
92037,2015-Q1,"San Diego, CA - Beach Barber",932333.0
92037,2015-Q1,"San Diego, CA - Muirlands",1898000.0
92037,2015-Q1,"San Diego, CA - Soledad South",969667.0
92037,2015-Q2,La Jolla,1133333.0
92037,2015-Q2,"San Diego, CA - Beach Barber",840333.0
92037,2015-Q2,"San Diego, CA - Muirlands",2023000.0
92037,2015-Q2,"San Diego, CA - Soledad South",1153667.0
92037,2015-Q3,La Jolla,1100000.0
92037,2015-Q3,"San Diego, CA - Beach Barber",1333667.0
92037,2015-Q3,"San Diego, CA - Muirlands",2092000.0
92037,2015-Q3,"San Diego, CA - Soledad South",1041000.0
92037,2015-Q4,La Jolla,1120333.0
92037,2015-Q4,"San Diego, CA - Beach Barber",1401667.0
92037,2015-Q4,"San Diego, CA - Muirlands",2274000.0
92037,2015-Q4,"San Diego, CA - Soledad South",1188667.0
92037,2016-Q1,La Jolla,1109000.0
92037,2016-Q1,"San Diego, CA - Beach Barber",1335667.0
92037,2016-Q1,"San Diego, CA - Muirlands",1883333.0
92037,2016-Q1,"San Diego, CA - Soledad South",897000.0
92037,2016-Q2,La Jolla,1143667.0
92037,2016-Q2,"San Diego, CA - Beach Barber",1292000.0
92037,2016-Q2,"San Diego, CA - Muirlands",2019333.0
92037,2016-Q2,"San Diego, CA - Soledad South",1123333.0
92037,2016-Q3,La Jolla,986667.0
92037,2016-Q3,"San Diego, CA - Beach Barber",1355000.0
92037,2016-Q3,"San Diego, CA - Muirlands",2866667.0
92037,2016-Q3,"San Diego, CA - Soledad South",1057667.0
92037,2016-Q4,La Jolla,1037667.0
92037,2016-Q4,"San Diego, CA - Beach Barber",1352000.0
92037,2016-Q4,"San Diego, CA - Muirlands",1762667.0
92037,2016-Q4,"San Diego, CA - Soledad South",1060000.0
92037,2017-Q1,La Jolla,1106000.0
92037,2017-Q1,"San Diego, CA - Beach Barber",1302667.0
92037,2017-Q1,"San Diego, CA - Muirlands",2163333.0
92037,2017-Q1,"San Diego, CA - Soledad South",1079333.0
92037,2017-Q2,La Jolla,1245000.0
92037,2017-Q2,"San Diego, CA - Beach Barber",1022333.0
92037,2017-Q2,"San Diego, CA - Muirlands",2479333.0
92037,2017-Q2,"San Diego, CA - Soledad South",1096667.0
92037,2017-Q3,La Jolla,1183333.0
92037,2017-Q3,"San Diego, CA - Beach Barber",1665000.0
92037,2017-Q3,"San Diego, CA - Muirlands",2353333.0
92037,2017-Q3,"San Diego, CA - Soledad South",970333.0
92037,2017-Q4,La Jolla,1240667.0
92037,2017-Q4,"San Diego, CA - Beach Barber",1434333.0
92037,2017-Q4,"San Diego, CA - Muirlands",2078333.0
92037,2017-Q4,"San Diego, CA - Soledad South",1092667.0
92037,2018-Q1,La Jolla,1238000.0
92037,2018-Q1,"San Diego, CA - Beach Barber",1689667.0
92037,2018-Q1,"San Diego, CA - Muirlands",2542333.0
92037,2018-Q1,"San Diego, CA - Soledad South",1188333.0
92037,2018-Q2,La Jolla,1305000.0
92037,2018-Q2,"San Diego, CA - Beach Barber",1643000.0
92037,2018-Q2,"San Diego, CA - Muirlands",2330000.0
92037,2018-Q2,"San Diego, CA - Soledad South",1375000.0
92071,2012-Q1,San Carlos,317667.0
92071,2012-Q2,San Carlos,282000.0
92071,2012-Q3,San Carlos,353667.0
